"jarvis3 DATA",
"PROGRAM","LEVEL","PARTITION","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME(s)","C_RAM(GB)","D_TIME(s)","D_MEM(GB)","DIFF","RUN"
JARVIS3_synthetic,1,10MB,11662542000,180285440,.123,.123,0,5096.10,71424,423.71,71040,0,0
JARVIS3_-fasta_analysis,1,10MB,11662542000,129177600,.123,.088,28.400,5066.72,71424,432.67,71040,0,0
JARVIS3_synthetic,1,100MB,11662542000,116490240,.079,.079,0,5114.28,93312,394.02,93056,0,0
JARVIS3_-fasta_analysis,1,100MB,11662542000,111656960,.079,.076,4.200,5069.78,93312,393.75,93056,0,0
JARVIS3_synthetic,1,1GB,11662542000,109701120,.075,.075,0,5041.79,312960,417.71,312576,0,0
JARVIS3_-fasta_analysis,1,1GB,11662542000,109568000,.075,.075,.200,4985.56,312960,420.88,312704,0,0
JARVIS3_synthetic,2,10MB,11662542000,180480000,.123,.123,0,5006.40,71424,432.21,71040,0,0
JARVIS3_-fasta_analysis,2,10MB,11662542000,129198080,.123,.088,28.500,4989.73,71424,412.84,71040,0,0
JARVIS3_synthetic,2,100MB,11662542000,116510720,.079,.079,0,5041.77,93312,394.22,93056,0,0
JARVIS3_-fasta_analysis,2,100MB,11662542000,111667200,.079,.076,4.200,4810.47,93312,397.73,93056,0,0
JARVIS3_synthetic,2,1GB,11662542000,109701120,.075,.075,0,5011.81,312704,433.35,312576,0,0
JARVIS3_-fasta_analysis,2,1GB,11662542000,109568000,.075,.075,.200,4991.64,312960,425.90,312704,0,0
JARVIS3_synthetic,5,10MB,11662542000,180643840,.123,.123,0,4940.83,71424,459.74,71040,0,0
JARVIS3_-fasta_analysis,5,10MB,11662542000,129208320,.123,.088,28.500,5011.55,71424,475.78,71040,0,0
JARVIS3_synthetic,5,100MB,11662542000,116520960,.079,.079,0,4917.25,93184,437.53,93056,0,0
JARVIS3_-fasta_analysis,5,100MB,11662542000,111656960,.079,.076,4.200,4985.63,93440,438.44,93056,0,0
JARVIS3_synthetic,5,1GB,11662542000,109711360,.075,.075,0,4893.87,312960,468.18,312576,0,0
JARVIS3_-fasta_analysis,5,1GB,11662542000,109547520,.075,.075,.200,5008.88,312832,464.53,312704,0,0
JARVIS3_synthetic,8,10MB,11662542000,155054080,.106,.106,0,5256.10,732800,invalid,918.00,1,0
JARVIS3_-fasta_analysis,8,10MB,11662542000,124211200,.106,.085,19.900,5262.48,718848,invalid,911.16,1,0
JARVIS3_synthetic,8,100MB,11662542000,108881920,.074,.074,0,5117.28,814208,invalid,751.52,1,0
JARVIS3_-fasta_analysis,8,100MB,11662542000,106782720,.074,.073,2.000,5199.67,814208,invalid,759.22,1,0
JARVIS3_synthetic,8,1GB,11662542000,109752320,.075,.075,0,5021.02,1033856,877.38,1033472,0,0
JARVIS3_-fasta_analysis,8,1GB,11662542000,100126720,.075,.068,8.800,5141.83,1033856,invalid,841.73,1,0
