"mfcompress DATA",
"PROGRAM","LEVEL","PARTITION","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME(s)","C_RAM(GB)","D_TIME(s)","D_MEM(GB)","DIFF","RUN"
MFCOMPRESS_synthetic,1,4,11662542000,92458222,.063,.063,0,958.01,534260,1123.62,526176,0,0
MFCOMPRESS_synthetic-fasta_analysis,1,4,11662542000,90101384,.063,.061,2.600,1054.20,534260,959.25,526176,0,0
MFCOMPRESS_synthetic,1,8,11662542000,103727667,.071,.071,0,769.69,534260,819.43,526048,0,0
MFCOMPRESS_synthetic-fasta_analysis,1,8,11662542000,99023192,.071,.067,4.600,900.32,534388,816.91,526048,0,0
MFCOMPRESS_synthetic,2,4,11662542000,92462815,.063,.063,0,1193.78,534900,1243.70,526688,0,0
MFCOMPRESS_synthetic-fasta_analysis,2,4,11662542000,90098001,.063,.061,2.600,1155.77,534900,1237.74,526560,0,0
MFCOMPRESS_synthetic,2,8,11662542000,103733157,.071,.071,0,930.65,534772,815.04,526416,0,0
MFCOMPRESS_synthetic-fasta_analysis,2,8,11662542000,99013866,.071,.067,4.600,931.66,534772,818.31,526432,0,0
MFCOMPRESS_synthetic,3,4,11662542000,98411950,.067,.067,0,2158.32,2385780,1708.62,2377696,0,0
MFCOMPRESS_synthetic-fasta_analysis,3,4,11662542000,94753448,.067,.064,3.800,2296.12,2385780,1610.36,2377696,0,0
MFCOMPRESS_synthetic,3,8,11662542000,110163366,.075,.075,0,1657.03,2385524,1170.15,2377440,0,0
MFCOMPRESS_synthetic-fasta_analysis,3,8,11662542000,104308715,.075,.071,5.400,1668.62,2385524,1067.03,2377424,0,0
