"mfcompress DATA",
"PROGRAM","LEVEL","PARTITION","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME(s)","C_RAM(GB)","D_TIME(s)","D_MEM(GB)","DIFF","RUN"
MFCOMPRESS_synthetic,1,1,11662542000,83710329,.057,.057,0,2224.78,534528,2361.24,526592,0,0
MFCOMPRESS_synthetic-fasta_analysis,1,1,11662542000,81763154,.057,.056,2.400,1996.22,534272,2174.99,526592,0,0
MFCOMPRESS_synthetic,1,4,11662542000,92458222,.063,.063,0,768.90,534132,802.42,526164,0,0
MFCOMPRESS_synthetic-fasta_analysis,1,4,11662542000,90222347,.063,.061,2.500,769.31,534132,801.78,526048,0,0
MFCOMPRESS_synthetic,1,8,11662542000,103727667,.071,.071,0,676.28,534388,698.76,526048,0,0
MFCOMPRESS_synthetic-fasta_analysis,1,8,11662542000,99098968,.071,.067,4.500,676.00,534456,697.11,526176,0,0
MFCOMPRESS_synthetic,2,1,11662542000,83714295,.057,.057,0,2386.28,535296,3280.21,527104,0,0
MFCOMPRESS_synthetic-fasta_analysis,2,1,11662542000,81764923,.057,.056,2.400,2150.81,535168,2912.22,526976,0,0
MFCOMPRESS_synthetic,2,4,11662542000,92462815,.063,.063,0,917.34,534644,1081.64,526560,0,0
MFCOMPRESS_synthetic-fasta_analysis,2,4,11662542000,90218607,.063,.061,2.500,904.33,534900,1092.92,526688,0,0
MFCOMPRESS_synthetic,2,8,11662542000,103733157,.071,.071,0,805.31,534900,692.62,526688,0,0
MFCOMPRESS_synthetic-fasta_analysis,2,8,11662542000,99089556,.071,.067,4.500,796.63,535028,694.00,526688,0,0
MFCOMPRESS_synthetic,3,1,11662542000,89234485,.061,.061,0,4581.65,2385792,4826.36,2378240,0,0
MFCOMPRESS_synthetic-fasta_analysis,3,1,11662542000,92596055,.061,.063,-3.700,4687.52,2386048,4822.17,2378112,0,0
MFCOMPRESS_synthetic,3,4,11662542000,98411950,.067,.067,0,2345.90,2385780,1695.95,2377696,0,0
MFCOMPRESS_synthetic-fasta_analysis,3,4,11662542000,101355183,.067,.069,-2.900,2158.19,2385652,1539.60,2377696,0,0
MFCOMPRESS_synthetic,3,8,11662542000,110163366,.075,.075,0,1677.58,2385636,1176.14,2377440,0,0
MFCOMPRESS_synthetic-fasta_analysis,3,8,11662542000,110691328,.075,.075,-.400,1642.88,2385508,1051.63,2377440,0,0
