"lzma DATA",
"PROGRAM","LEVEL","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME(s)","C_RAM(GB)","D_TIME(s)","D_MEM(GB)","DIFF","RUN"
lzma_test,1,1023030000,322818057,2.524,2.524,0,70.85,9332,19.78,3416,0,0
lzma_test-sortmf,1,1023030000,12096020,2.524,.094,96.300,7.52,9328,1.99,3416,0,0
lzma_test-fasta_analysis,1,1023030000,11892757,2.524,.093,96.400,7.48,9328,1.98,3412,0,0
lzma_test,4,1023030000,19549552,.152,.152,0,262.10,42808,2.75,6488,0,0
lzma_test-sortmf,4,1023030000,7766343,.152,.060,60.300,161.90,42812,1.79,6488,0,0
lzma_test-fasta_analysis,4,1023030000,7752850,.152,.060,60.400,161.67,42812,1.78,6484,0,0
lzma_test,7,1023030000,5498271,.042,.042,0,420.72,159548,1.70,18776,0,0
lzma_test-sortmf,7,1023030000,7382382,.042,.057,-34.200,223.42,159552,1.77,18776,0,0
lzma_test-fasta_analysis,7,1023030000,7381534,.042,.057,-34.200,223.12,159548,1.79,18776,0,0
lzma_test,9,1023030000,5774740,.045,.045,0,458.12,626496,1.76,67928,0,0
lzma_test-sortmf,9,1023030000,6996907,.045,.054,-21.100,244.87,626496,1.78,67924,0,0
lzma_test-fasta_analysis,9,1023030000,7020607,.045,.054,-21.500,245.19,626496,1.81,67924,0,0
