"mbgc DATA",
"PROGRAM","LEVEL","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME(s)","C_RAM(GB)","D_TIME(s)","D_MEM(GB)","DIFF","RUN"
MBGC_test,0,1023030000,30152727,.235,.235,0,5.06,3739668,2.66,1251536,1,0
MBGC_test-sortmf,0,1023030000,26197427,.235,.204,13.200,6.13,3929376,3.08,1291740,1,0
MBGC_test-fasta_analysis,0,1023030000,26485116,.235,.207,12.200,6.50,3909060,3.70,1303924,1,0
MBGC_test,1,1023030000,30261488,.236,.236,0,5.08,3714776,2.66,1252824,1,0
MBGC_test-sortmf,1,1023030000,26130769,.236,.204,13.700,6.28,3904928,3.86,1294064,1,0
MBGC_test-fasta_analysis,1,1023030000,26448506,.236,.206,12.700,6.10,3873080,2.94,1298828,1,0
MBGC_test,2,1023030000,30240312,.236,.236,0,5.05,3723232,2.65,1251704,1,0
MBGC_test-sortmf,2,1023030000,26148474,.236,.204,13.600,6.15,3938268,3.83,1296908,1,0
MBGC_test-fasta_analysis,2,1023030000,26618244,.236,.208,12.000,6.30,3937924,3.75,1303332,1,0
MBGC_test,3,1023030000,30161422,.235,.235,0,4.99,3715640,2.65,1252868,1,0
MBGC_test-sortmf,3,1023030000,26160026,.235,.204,13.300,6.36,3910832,2.96,1300216,1,0
MBGC_test-fasta_analysis,3,1023030000,26502038,.235,.207,12.200,6.01,3905196,3.71,1298044,1,0
