"gzip DATA",
"PROGRAM","LEVEL","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME(s)","C_RAM(GB)","D_TIME(s)","D_MEM(GB)","DIFF","RUN"
gzip_test,1,1023030000,356136258,2.784,2.784,0,17.16,2232,8.01,1912,0,0
gzip_test-sortmf,1,1023030000,354528097,2.784,2.772,.500,17.04,2232,7.80,1912,0,0
gzip_test-fasta_analysis,1,1023030000,354528097,2.784,2.772,.500,17.10,2228,7.79,1908,0,0
gzip_test,4,1023030000,330297702,2.582,2.582,0,31.16,2232,6.19,1912,0,0
gzip_test-sortmf,4,1023030000,319607309,2.582,2.499,3.300,30.14,2232,6.84,1912,0,0
gzip_test-fasta_analysis,4,1023030000,319607309,2.582,2.499,3.300,29.57,2232,6.08,1912,0,0
gzip_test,7,1023030000,309414485,2.419,2.419,0,369.35,2220,5.88,1912,0,0
gzip_test-sortmf,7,1023030000,287886983,2.419,2.251,7.000,339.93,2224,6.29,1912,0,0
gzip_test-fasta_analysis,7,1023030000,287886983,2.419,2.251,7.000,340.21,2224,5.74,1912,0,0
gzip_test,9,1023030000,300677423,2.351,2.351,0,832.19,2220,5.78,1912,0,0
gzip_test-sortmf,9,1023030000,274825420,2.351,2.149,8.600,760.28,2216,5.63,1908,0,0
gzip_test-fasta_analysis,9,1023030000,274825420,2.351,2.149,8.600,760.07,2220,5.52,1912,0,0
