"Dataset-CVDB",
"PROGRAM","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME (s)","C_RAM(GB)", "D_TIME(s)", "D_MEM(GB)","DIFF","RUN",
JARVIS3 l1 10MB;46107409016,526868480,.091,.091,0,6658.75,202636,invalid,3351.30,1,0
JARVIS3 l1 10MB sort,46107409016,356362240,.091,.061,,6919.95,202628,invalid,4454.17,1,0
JARVIS3 l1 10MB sort_fanalysis,46107409016,373852160,.091,.064,,6871.42,202632,invalid,3134.73,1,0
JARVIS3 l1 100MB CVDB,46107409016,433776640,.075,.075,,7505.01,224604,invalid,3324.70,1,0
JARVIS3 l1 100MB sort,46107409016,276561920,.075,.047,,6663.38,224608,invalid,3147.67,1,0
JARVIS3 l1 100MB sort_fan,46107409016,285153280,.075,.049,,6674.68,224608,invalid,3047.87,1,0
JARVIS3 l1 1GB CVDB,46107409016,,.067,,,6532.26,444332,invalid,3070.19,1,0
JARVIS3 l1 1GB sort,46107409016,,.067,,,6460.64,444332,,2969.67,1,0
JARVIS3 l1 1GB sort_fan,46107409016,,.067,,,6517.67,444332,invalid,3146.40,1,0
JARVIS3 l5 10MB CVDB,46107409016,527247360,.091,.091,,7024.05,792460,invalid,3787.87,1,0
JARVIS3 l5 10MB sort,46107409016,357703680,.091,.062,,7060.48,792444,invalid,3720.66,1,0
JARVIS3 l5 10MB sort_fa,46107409016,376770560,.091,.065,,7045.72,792444,invalid,3766.79,1,0
JARVIS3 l5 100MB CVDB,46107409016,429383680,.074,.074,,6610.19,814428,invalid,3444.89,1,0
JARVIS3 l5 100MB sort,46107409016,274370560,.074,.047,,6527.54,814428,invalid,3541.68,1,0
JARVIS3 l5 100MB sort_fa,46107409016,285009920,.074,.049,,6490.54,814428,invalid,3434.63,1,0
JARVIS3 l5 1GB CVDB,46107409016,370647040,.064,.064,,6453.68,1034156,invalid,3582.27,1,0
JARVIS3 l5 1GB sort,46107409016,226816000,.064,.039,,6403.71,1034116,This,not,1,0
JARVIS3 l5 1GB sort_fan,46107409016,247439360,.064,.042,,6441.56,1034152,This,not,1,0
JARVIS3 l10 10MB CVDB,46107409016,499261440,.086,.086,,7175.76,202888,invalid,3958.89,1,0
JARVIS3 l10 10MB sort,46107409016,334766080,.086,.058,,7158.80,202880,invalid,3910.34,1,0
JARVIS3 l10 10MB sort_fa,46107409016,350832640,.086,.060,,7044.79,202876,invalid,3933.12,1,0
JARVIS3 l10 100MB CVDB,46107409016,408760320,.070,.070,,6666.80,224760,invalid,3701.23,1,0
JARVIS3 l10 100MB sort,46107409016,257638400,.070,.044,,6554.91,224756,invalid,3768.01,1,0
JARVIS3 l10 100MB sort_fa,46107409016,265840640,.070,.046,,6609.32,224752,invalid,3750.93,1,0
JARVIS3 l10 1GB CVDB,46107409016,362659840,.062,.062,,6629.45,444484,invalid,3759.85,1,0
JARVIS3 l10 1GB sort,46107409016,212776960,.062,.036,,6559.26,444472,invalid,3715.94,1,0
JARVIS3 l10 1GB sort_fa,46107409016,229591040,.062,.039,,6538.89,444472,invalid,3985.11,1,0
JARVIS3 l15 10MB CVDB,46107409016,,,,,,,,,1,0
JARVIS3 l15 10MB sort,46107409016,,,,,,,,,1,0
JARVIS3 l15 10MB sort_fa,46107409016,,,,,,,,,1,0
JARVIS3 l15 100MB CVDB,46107409016,,,,,,,,,1,0
JARVIS3 l15 100MB sort,46107409016,,,,,,,,,1,0
JARVIS3 l15 100MB sort_fa,46107409016,,,,,,,,,1,0
JARVIS3 l15 1GB CVDB,46107409016,,,,,,,,,1,0
JARVIS3 l15 1GB sort,46107409016,,,,,,,,,1,0
JARVIS3 l15 1GB sort_fa,46107409016,,,,,,,,,1,0
"Dataset-ALCOR_generated_file",
"PROGRAM","BYTES","C_BYTES","BPS", "C_TIME (s)", "C_RAM(GB)", "D_TIME(s)", "D_MEM(GB)","DIFF,"RUN"
JARVIS3 l1 10MB sequence_model,9821088000,,,,,,,,,1,0
JARVIS3 l1 10MB sort_ALCOR,,,,,,,,,,0,0
JARVIS3 l1 10MB sort_fanalysis_ALCOR,,,,,,,,,,0,0
JARVIS3 l1 100MB sequence_model,9821088000,,,,,,,,,1,0
JARVIS3 l1 100MB sort_ALCOR,,,,,,,,,,0,0
JARVIS3 l1 100MB sort_fanalysis_ALCOR,,,,,,,,,,0,0
JARVIS3 l1 1GB sequence_model,9821088000,,,,,,,,,1,0
JARVIS3 l1 1GB sort_ALCOR,,,,,,,,,,0,0
JARVIS3 l1 1GB sort_fanalysis_ALCOR,,,,,,,,,,0,0
JARVIS3 l5 10MB sequence_model,9821088000,,,,,,,,,1,0
JARVIS3 l5 10MB sort_ALCOR,,,,,,,,,,0,0
JARVIS3 l5 10MB sort_fanalysis_ALCOR,,,,,,,,,,0,0
